12,98,"ORIXIMINA",2016-01-08 14:42:38.11824,2016-01-08 14:42:38.11824
24,259,"BARREIRINHA",2016-01-08 14:42:41.021042,2016-01-08 14:42:41.021042
24,258,"BARREIRINHA",2016-01-08 14:42:41.001711,2016-01-08 14:42:41.001711
24,264,"BARREIRINHA",2016-01-08 14:42:41.124614,2016-01-08 14:42:41.124614
24,257,"BARREIRINHA",2016-01-08 14:42:40.986116,2016-01-08 14:42:40.986116
4,21,"SAO GABRIEL DA CACHOEIRA",2016-01-08 14:42:36.718042,2016-01-08 14:42:36.718042
4,40,"SAO GABRIEL DA CACHOEIRA",2016-01-08 14:42:37.082754,2016-01-08 14:42:37.082754
4,26,"SAO GABRIEL DA CACHOEIRA",2016-01-08 14:42:36.821334,2016-01-08 14:42:36.821334
4,30,"SAO GABRIEL DA CACHOEIRA",2016-01-08 14:42:36.8962,2016-01-08 14:42:36.8962
4,28,"SAO GABRIEL DA CACHOEIRA",2016-01-08 14:42:36.857537,2016-01-08 14:42:36.857537
4,29,"SAO GABRIEL DA CACHOEIRA",2016-01-08 14:42:36.877511,2016-01-08 14:42:36.877511
4,32,"SAO GABRIEL DA CACHOEIRA",2016-01-08 14:42:36.931208,2016-01-08 14:42:36.931208
4,33,"SAO GABRIEL DA CACHOEIRA",2016-01-08 14:42:36.948832,2016-01-08 14:42:36.948832
4,42,"SAO GABRIEL DA CACHOEIRA",2016-01-08 14:42:37.121034,2016-01-08 14:42:37.121034
4,41,"SAO GABRIEL DA CACHOEIRA",2016-01-08 14:42:37.100305,2016-01-08 14:42:37.100305
31,311,"CACOAL",2016-01-08 14:42:42.083082,2016-01-08 14:42:42.083082
31,313,"ARIPUANA",2016-01-08 14:42:42.113198,2016-01-08 14:42:42.113198
31,312,"JUINA",2016-01-08 14:42:42.098096,2016-01-08 14:42:42.098096
31,310,"VILHENA",2016-01-08 14:42:42.066759,2016-01-08 14:42:42.066759
32,317,"AGUA BOA",2016-01-08 14:42:42.178003,2016-01-08 14:42:42.178003
32,318,"PARANATINGA",2016-01-08 14:42:42.193098,2016-01-08 14:42:42.193098
32,316,"CAMPINAPOLIS",2016-01-08 14:42:42.163142,2016-01-08 14:42:42.163142
32,314,"BARRA DO GARCAS",2016-01-08 14:42:42.127859,2016-01-08 14:42:42.127859
33,323,"SAO FELIX DO ARAGUAIA",2016-01-08 14:42:42.283177,2016-01-08 14:42:42.283177
33,320,"FELIZ NATAL",2016-01-08 14:42:42.228388,2016-01-08 14:42:42.228388
33,321,"GAUCHA DO NORTE",2016-01-08 14:42:42.247909,2016-01-08 14:42:42.247909
10,87,"ITAREMA",2016-01-08 14:42:37.922813,2016-01-08 14:42:37.922813
30,307,"ATALAIA DO NORTE",2016-01-08 14:42:42.018741,2016-01-08 14:42:42.018741
30,309,"ATALAIA DO NORTE",2016-01-08 14:42:42.04989,2016-01-08 14:42:42.04989
30,303,"ATALAIA DO NORTE",2016-01-08 14:42:41.922257,2016-01-08 14:42:41.922257
30,304,"ATALAIA DO NORTE",2016-01-08 14:42:41.941208,2016-01-08 14:42:41.941208
30,306,"ATALAIA DO NORTE",2016-01-08 14:42:41.998967,2016-01-08 14:42:41.998967
30,308,"ATALAIA DO NORTE",2016-01-08 14:42:42.03354,2016-01-08 14:42:42.03354
30,302,"ATALAIA DO NORTE",2016-01-08 14:42:41.89904,2016-01-08 14:42:41.89904
34,336,"ALTO ALEGRE",2016-01-08 14:42:42.492978,2016-01-08 14:42:42.492978
9,79,"PORTO SEGURO",2016-01-08 14:42:37.78392,2016-01-08 14:42:37.78392
9,75,"PAULO AFONSO",2016-01-08 14:42:37.722329,2016-01-08 14:42:37.722329
9,77,"ILHEUS",2016-01-08 14:42:37.751925,2016-01-08 14:42:37.751925
17,155,"SAO PAULO",2016-01-08 14:42:39.071012,2016-01-08 14:42:39.071012
25,274,"PETROLANDIA",2016-01-08 14:42:41.306187,2016-01-08 14:42:41.306187
25,277,"PESQUEIRA",2016-01-08 14:42:41.362869,2016-01-08 14:42:41.362869
22,219,"IPIXUNA",2016-01-08 14:42:40.19783,2016-01-08 14:42:40.19783
22,230,"ENVIRA",2016-01-08 14:42:40.433054,2016-01-08 14:42:40.433054
22,231,"CARAUARI",2016-01-08 14:42:40.459226,2016-01-08 14:42:40.459226
22,218,"JUTAI",2016-01-08 14:42:40.177473,2016-01-08 14:42:40.177473
19,191,"SANTA INES",2016-01-08 14:42:39.686738,2016-01-08 14:42:39.686738
20,195,"MIRANDA",2016-01-08 14:42:39.756534,2016-01-08 14:42:39.756534
20,198,"AQUIDAUANA",2016-01-08 14:42:39.808877,2016-01-08 14:42:39.808877
5,50,"ASSIS BRASIL",2016-01-08 14:42:37.260247,2016-01-08 14:42:37.260247
5,51,"SENA MADUREIRA",2016-01-08 14:42:37.278188,2016-01-08 14:42:37.278188
34,327,"ALTO ALEGRE",2016-01-08 14:42:42.343012,2016-01-08 14:42:42.343012
34,328,"ALTO ALEGRE",2016-01-08 14:42:42.359758,2016-01-08 14:42:42.359758
34,338,"ALTO ALEGRE",2016-01-08 14:42:42.526832,2016-01-08 14:42:42.526832
34,347,"AMAJARI",2016-01-08 14:42:42.679306,2016-01-08 14:42:42.679306
34,330,"AMAJARI",2016-01-08 14:42:42.392314,2016-01-08 14:42:42.392314
34,333,"IRACEMA",2016-01-08 14:42:42.448053,2016-01-08 14:42:42.448053
34,339,"CARACARAI",2016-01-08 14:42:42.543465,2016-01-08 14:42:42.543465
34,354,"CARACARAI",2016-01-08 14:42:42.79925,2016-01-08 14:42:42.79925
34,352,"MUCAJAI",2016-01-08 14:42:42.76747,2016-01-08 14:42:42.76747
34,359,"CARACARAI",2016-01-08 14:42:42.880339,2016-01-08 14:42:42.880339
11,94,"BRASNORTE",2016-01-08 14:42:38.044875,2016-01-08 14:42:38.044875
11,93,"TANGARA DA SERRA",2016-01-08 14:42:38.027666,2016-01-08 14:42:38.027666
11,95,"CUIABA",2016-01-08 14:42:38.06195,2016-01-08 14:42:38.06195
11,96,"RONDONOPOLIS",2016-01-08 14:42:38.077922,2016-01-08 14:42:38.077922
20,194,"DOURADOS",2016-01-08 14:42:39.737479,2016-01-08 14:42:39.737479
15,119,"REDENCAO",2016-01-08 14:42:38.47892,2016-01-08 14:42:38.47892
11,97,"PORTO ESPERIDIAO",2016-01-08 14:42:38.098394,2016-01-08 14:42:38.098394
20,199,"SIDROLANDIA",2016-01-08 14:42:39.825179,2016-01-08 14:42:39.825179
20,197,"CAMPO GRANDE",2016-01-08 14:42:39.789454,2016-01-08 14:42:39.789454
27,285,"RIO TINTO",2016-01-08 14:42:41.529515,2016-01-08 14:42:41.529515
27,283,"MARCACAO",2016-01-08 14:42:41.488,2016-01-08 14:42:41.488
27,284,"BAIA DA TRAICAO",2016-01-08 14:42:41.509861,2016-01-08 14:42:41.509861
12,103,"CAPITAO POCO",2016-01-08 14:42:38.205875,2016-01-08 14:42:38.205875
12,101,"TUCURUI",2016-01-08 14:42:38.166425,2016-01-08 14:42:38.166425
7,64,"OIAPOQUE",2016-01-08 14:42:37.529964,2016-01-08 14:42:37.529964
7,68,"OIAPOQUE",2016-01-08 14:42:37.610739,2016-01-08 14:42:37.610739
7,69,"OIAPOQUE",2016-01-08 14:42:37.627396,2016-01-08 14:42:37.627396
13,108,"BAURU",2016-01-08 14:42:38.285701,2016-01-08 14:42:38.285701
13,107,"GUARAPUAVA",2016-01-08 14:42:38.270249,2016-01-08 14:42:38.270249
13,106,"PASSO FUNDO",2016-01-08 14:42:38.255446,2016-01-08 14:42:38.255446
13,112,"LONDRINA",2016-01-08 14:42:38.351944,2016-01-08 14:42:38.351944
20,203,"IGUATEMI",2016-01-08 14:42:39.900888,2016-01-08 14:42:39.900888
20,201,"BODOQUENA",2016-01-08 14:42:39.857241,2016-01-08 14:42:39.857241
5,47,"PAUINI",2016-01-08 14:42:37.208186,2016-01-08 14:42:37.208186
12,100,"MARABA",2016-01-08 14:42:38.1494,2016-01-08 14:42:38.1494
