base_polo_id,name,sesai_id,city_name,city_sesai_id,created_at,updated_at
190,"PV2",51550,"ALTO ALEGRE DO PINDARE",210047,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"PORQUINHOS",47185,"FERNANDO FALCAO",210408,"2015-11-06 00:00:00","2015-11-06 00:00:00"
187,"ARARIBÓIA",49527,"AMARANTE DO MARANHAO",210060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
185,"PIQUIZEIRO",51461,"ARAME",210095,"2015-11-06 00:00:00","2015-11-06 00:00:00"
189,"SABONETE DO LEÃO",50232,"JENIPAPO DOS VIEIRAS",210547,"2015-11-06 00:00:00","2015-11-06 00:00:00"
187,"OLHO DÁGUA",49563,"AMARANTE DO MARANHAO",210060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
188,"BACURIZEIRO",48577,"ARAGUANA",210087,"2015-11-06 00:00:00","2015-11-06 00:00:00"
189,"NOVA JERUZALEM",49511,"JENIPAPO DOS VIEIRAS",210547,"2015-11-06 00:00:00","2015-11-06 00:00:00"
189,"TALHADO",49515,"GRAJAU",210480,"2015-11-06 00:00:00","2015-11-06 00:00:00"
185,"LAGOA VERMELHA",51463,"ARAME",210095,"2015-11-06 00:00:00","2015-11-06 00:00:00"
185,"ZÉ LEAL I",47046,"ARAME",210095,"2015-11-06 00:00:00","2015-11-06 00:00:00"
190,"TIRACAMBÚ(MIRÍ MIRÍ",50113,"BOM JARDIM",210200,"2015-11-06 00:00:00","2015-11-06 00:00:00"
185,"BELA VISTA",48290,"ARAME",210095,"2015-11-06 00:00:00","2015-11-06 00:00:00"
189,"PAU D¿ARCO",48543,"GRAJAU",210480,"2015-11-06 00:00:00","2015-11-06 00:00:00"
189,"PLANICIE",50190,"GRAJAU",210480,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"PEDRA BRANCA",47234,"BARRA DO CORDA",210160,"2015-11-06 00:00:00","2015-11-06 00:00:00"
190,"PIÇARRA PRETA",49554,"BOM JARDIM",210200,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"BARRERINHA",50894,"JENIPAPO DOS VIEIRAS",210547,"2015-11-06 00:00:00","2015-11-06 00:00:00"
189,"CHAPADINHA",49188,"GRAJAU",210480,"2015-11-06 00:00:00","2015-11-06 00:00:00"
185,"TIRIRICA II",50124,"ARAME",210095,"2015-11-06 00:00:00","2015-11-06 00:00:00"
189,"TABOQUINHA",49222,"GRAJAU",210480,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"MAINUMY",49138,"BARRA DO CORDA",210160,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"MARDONIO",47996,"JENIPAPO DOS VIEIRAS",210547,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"MANGUEIRINHA BR",49131,"GRAJAU",210480,"2015-11-06 00:00:00","2015-11-06 00:00:00"
189,"SANTA RITA",46878,"GRAJAU",210480,"2015-11-06 00:00:00","2015-11-06 00:00:00"
187,"NOVA VIANA",47357,"AMARANTE DO MARANHAO",210060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
185,"JABUTI",47050,"ARAME",210095,"2015-11-06 00:00:00","2015-11-06 00:00:00"
187,"ANTA",48578,"AMARANTE DO MARANHAO",210060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
187,"TAMBURI",47617,"BOM JESUS DAS SELVAS",210203,"2015-11-06 00:00:00","2015-11-06 00:00:00"
187,"VILA FELIZ",47553,"AMARANTE DO MARANHAO",210060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"SIBIRINO",50603,"ITAIPAVA DO GRAJAU",210535,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"TAIWÁ",49046,"BARRA DO CORDA",210160,"2015-11-06 00:00:00","2015-11-06 00:00:00"
185,"VILA TARRAFA",50123,"ARAME",210095,"2015-11-06 00:00:00","2015-11-06 00:00:00"
188,"GUAJÁ",50148,"ARAGUANA",210087,"2015-11-06 00:00:00","2015-11-06 00:00:00"
187,"RECANTO DOS COCAIS",49576,"MONTES ALTOS",210700,"2015-11-06 00:00:00","2015-11-06 00:00:00"
189,"OLHO D¿AGUA",47971,"GRAJAU",210480,"2015-11-06 00:00:00","2015-11-06 00:00:00"
189,"CABEÇA DA ONÇA",52014,"JENIPAPO DOS VIEIRAS",210547,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"SÃO PEDRO",50662,"JENIPAPO DOS VIEIRAS",210547,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"RAIMUNDÃO",51315,"JENIPAPO DOS VIEIRAS",210547,"2015-11-06 00:00:00","2015-11-06 00:00:00"
187,"MIRINDIBA",49572,"BOM JESUS DAS SELVAS",210203,"2015-11-06 00:00:00","2015-11-06 00:00:00"
187,"CABEÇA DA ONÇA",49562,"AMARANTE DO MARANHAO",210060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"CRIOLYZINHO",51317,"JENIPAPO DOS VIEIRAS",210547,"2015-11-06 00:00:00","2015-11-06 00:00:00"
187,"BARREIRO",49571,"BOM JESUS DAS SELVAS",210203,"2015-11-06 00:00:00","2015-11-06 00:00:00"
187,"BEZERRA",51131,"AMARANTE DO MARANHAO",210060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"TALHADO",49048,"BARRA DO CORDA",210160,"2015-11-06 00:00:00","2015-11-06 00:00:00"
189,"SUSUAPARA",47857,"GRAJAU",210480,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"PLANALTO",49814,"JENIPAPO DOS VIEIRAS",210547,"2015-11-06 00:00:00","2015-11-06 00:00:00"
185,"BARRO BRANCO",47052,"ARAME",210095,"2015-11-06 00:00:00","2015-11-06 00:00:00"
187,"IPORANGATÚ",51515,"BOM JESUS DAS SELVAS",210203,"2015-11-06 00:00:00","2015-11-06 00:00:00"
185,"NOVO ZUTIUA",49823,"ARAME",210095,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"BONITA",49185,"ITAIPAVA DO GRAJAU",210535,"2015-11-06 00:00:00","2015-11-06 00:00:00"
189,"SUMAÚMA DO BACURIZINHO",48631,"GRAJAU",210480,"2015-11-06 00:00:00","2015-11-06 00:00:00"
190,"JANUARIA",49583,"BOM JARDIM",210200,"2015-11-06 00:00:00","2015-11-06 00:00:00"
189,"ILHA SÃO PEDRO",50235,"JENIPAPO DOS VIEIRAS",210547,"2015-11-06 00:00:00","2015-11-06 00:00:00"
190,"AGUA BRANCA",50942,"BOM JARDIM",210200,"2015-11-06 00:00:00","2015-11-06 00:00:00"
185,"JACAREI",51459,"ARAME",210095,"2015-11-06 00:00:00","2015-11-06 00:00:00"
185,"ZÉ LEAL II",49211,"ARAME",210095,"2015-11-06 00:00:00","2015-11-06 00:00:00"
187,"GOVERNADOR",49214,"AMARANTE DO MARANHAO",210060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
189,"ENTRADA DA JUREMA",49712,"JENIPAPO DOS VIEIRAS",210547,"2015-11-06 00:00:00","2015-11-06 00:00:00"
185,"PORTUGAL",47310,"AMARANTE DO MARANHAO",210060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
189,"PAPAGAIO",46879,"GRAJAU",210480,"2015-11-06 00:00:00","2015-11-06 00:00:00"
187,"PLACA",47619,"BOM JESUS DAS SELVAS",210203,"2015-11-06 00:00:00","2015-11-06 00:00:00"
189,"MARCULINO",49221,"GRAJAU",210480,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"NOVO EGITO",50359,"JENIPAPO DOS VIEIRAS",210547,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"SANTA MARIA",49505,"JENIPAPO DOS VIEIRAS",210547,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"PEDRINHA",47673,"BARRA DO CORDA",210160,"2015-11-06 00:00:00","2015-11-06 00:00:00"
185,"TARRAFA",47038,"ARAME",210095,"2015-11-06 00:00:00","2015-11-06 00:00:00"
