cost_id,pdsi_id,initial_forecast_2016
28,7,0
28,9,0
28,10,0
28,19,0
28,23,0
28,20,0
28,8,0
28,14,0
28,11,0
28,32,0
28,33,0
28,2,0
28,12,0
28,15,0
28,28,0
28,27,0
28,25,0
28,17,0
28,26,0
28,31,0
28,16,0
28,34,0
28,13,0
28,29,0
29,5,0
29,1,0
29,4,0
29,6,0
29,30,0
29,18,0
29,21,0
29,22,0
29,24,0
29,7,0
29,9,0
29,10,0
29,19,0
29,23,0
29,20,0
29,8,0
29,14,0
29,11,0
29,32,0
29,33,0
29,2,0
29,12,0
29,15,0
29,28,0
29,27,0
29,25,0
29,17,0
29,26,0
29,31,0
29,16,0
29,34,0
29,13,0
29,29,0
30,3,991704.38
30,5,3092616.83
30,1,2107176.29
30,4,976004.04
30,6,1000198.50
30,30,799701.70
30,18,3486901.82
30,21,915515.35
30,22,506310.00
30,24,451600.84
30,7,1225177.23
30,9,3979373.66
30,10,1171037.95
30,19,3383269.60
30,23,2691555.62
30,20,7467687.13
30,8,1257331.52
30,14,772887.95
30,11,1295414.27
30,32,1408278.73
30,33,614444.29
30,2,746180.40
30,12,1918290.19
30,15,1926321.55
30,28,1334178.28
30,27,1728397.02
30,25,2793548.11
30,17,3668418.01
30,26,2392909.40
30,31,2044037.90
30,16,2293530.55
30,34,3216263.75
30,13,7173116.34
30,29,2052620.64
