cod_uf,name_uf,cod_city,city,created_at,updated_at
13,"Amazonas",04237,"Tonantins","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",01001,"Carauari","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",01407,"Eirunepé","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",01506,"Envira","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",01654,"Guajará","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",01803,"Ipixuna","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",01951,"Itamarati","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",02207,"Juruá","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",00029,"Alvarães","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",04203,"Tefé","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",04260,"Uarini","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",00086,"Anamã","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",00102,"Anori","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",00631,"Beruri","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",00839,"Caapiranga","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",01209,"Coari","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",01308,"Codajás","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",00300,"Autazes","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",01100,"Careiro","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",01159,"Careiro da Várzea","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",01852,"Iranduba","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",02504,"Manacapuru","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",02553,"Manaquiri","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",02603,"Manaus","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",03536,"Presidente Figueiredo","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",03569,"Rio Preto da Eva","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",01902,"Itacoatiara","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",02009,"Itapiranga","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",03106,"Nova Olinda do Norte","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",04005,"Silves","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",04401,"Urucurituba","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",00508,"Barreirinha","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",00680,"Boa Vista do Ramos","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",02900,"Maués","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",03007,"Nhamundá","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",03403,"Parintins","2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"Amazonas",03957,"São Sebastião do Uatumã","2015-11-06 00:00:00","2015-11-06 00:00:00"
