"ALANTESU ANUNSU","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALANTESU CENTRAL","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALANTESU QUENTO","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALANTESU WAIKISU","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALANTESU-SORANO","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALAPUSI","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALDEIA  ACAUÃ","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALDEIA  CAITITU","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALDEIA 31","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALDEIA ALTO DO GAVIÃO","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALDEIA AMIMAJJ","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALDEIA ANTIGA  SEDE","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALDEIA ASSUNÇÃO","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALDEIA BEBEDOURO DO TATU","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALDEIA CAATINGA GRANDE","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALDEIA CAATINGUINHA","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALDEIA CAJUEIRO","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALDEIA CAMALEÃO","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALDEIA CANUDO","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALDEIA CENTRAL","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALDEIA CINTA LARGA","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALDEIA CORONHEIRA","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALDEIA DO CURRAL","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALDEIA DOIS IRMÃOS","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALDEIA ESCONDIDO","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALDEIA ESTRELA","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALDEIA FLOR DA SERRA","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALDEIA ILHA DA QUEIXABA","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALDEIA ILHA DAS VACAS","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALDEIA ILHA DO CALABOUCHO","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALDEIA JATOBAZEIRO","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALDEIA JIBÓIA","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALDEIA KÉTY JUG TEGTÚ (KAINGANG)","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALDEIA LAMA","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALDEIA LAMEIRÃO","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALDEIA LATUNDÊ","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALDEIA MANDUCA","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALDEIA NGAXIP","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ALDEIA NOVA DO KATÕ","2015-11-06 00:00:00","2015-11-06 00:00:00"
