"SANTA RITA DE CASSIA","2015-11-06 00:00:00","2015-11-06 00:00:00"
"GLORIA","2015-11-06 00:00:00","2015-11-06 00:00:00"
"UTINGA","2015-11-06 00:00:00","2015-11-06 00:00:00"
"PORTO SEGURO","2015-11-06 00:00:00","2015-11-06 00:00:00"
"CURACA","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ABARE","2015-11-06 00:00:00","2015-11-06 00:00:00"
"IBOTIRAMA","2015-11-06 00:00:00","2015-11-06 00:00:00"
"BELMONTE","2015-11-06 00:00:00","2015-11-06 00:00:00"
"CAMACAN","2015-11-06 00:00:00","2015-11-06 00:00:00"
"MONSENHOR TABOSA","2015-11-06 00:00:00","2015-11-06 00:00:00"
"CRATEUS","2015-11-06 00:00:00","2015-11-06 00:00:00"
"CAUCAIA","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ITAREMA","2015-11-06 00:00:00","2015-11-06 00:00:00"
"PACATUBA","2015-11-06 00:00:00","2015-11-06 00:00:00"
"BOA VIAGEM","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ARATUBA","2015-11-06 00:00:00","2015-11-06 00:00:00"
"QUITERIANOPOLIS","2015-11-06 00:00:00","2015-11-06 00:00:00"
"TAMBORIL","2015-11-06 00:00:00","2015-11-06 00:00:00"
"MARACANAU","2015-11-06 00:00:00","2015-11-06 00:00:00"
"PORANGA","2015-11-06 00:00:00","2015-11-06 00:00:00"
"AQUIRAZ","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ITAPIPOCA","2015-11-06 00:00:00","2015-11-06 00:00:00"
"CANINDE","2015-11-06 00:00:00","2015-11-06 00:00:00"
"NOVO ORIENTE","2015-11-06 00:00:00","2015-11-06 00:00:00"
"SAO BENEDITO","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ACARAU","2015-11-06 00:00:00","2015-11-06 00:00:00"
"SAO GONCALO DO AMARANTE","2015-11-06 00:00:00","2015-11-06 00:00:00"
"CAMPO NOVO DO PARECIS","2015-11-06 00:00:00","2015-11-06 00:00:00"
"SAPEZAL","2015-11-06 00:00:00","2015-11-06 00:00:00"
"BRASNORTE","2015-11-06 00:00:00","2015-11-06 00:00:00"
"PARANATINGA","2015-11-06 00:00:00","2015-11-06 00:00:00"
"NOBRES","2015-11-06 00:00:00","2015-11-06 00:00:00"
"TANGARA DA SERRA","2015-11-06 00:00:00","2015-11-06 00:00:00"
"BARAO DE MELGACO","2015-11-06 00:00:00","2015-11-06 00:00:00"
"CONQUISTA D'OESTE","2015-11-06 00:00:00","2015-11-06 00:00:00"
"BARRA DO BUGRES","2015-11-06 00:00:00","2015-11-06 00:00:00"
"GENERAL CARNEIRO","2015-11-06 00:00:00","2015-11-06 00:00:00"
"SANTO ANTONIO DO LEVERGER","2015-11-06 00:00:00","2015-11-06 00:00:00"
"RONDONOPOLIS","2015-11-06 00:00:00","2015-11-06 00:00:00"
"DIAMANTINO","2015-11-06 00:00:00","2015-11-06 00:00:00"
"COMODORO","2015-11-06 00:00:00","2015-11-06 00:00:00"
"PORTO ESPERIDIAO","2015-11-06 00:00:00","2015-11-06 00:00:00"
"PONTES E LACERDA","2015-11-06 00:00:00","2015-11-06 00:00:00"
"POXOREO","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ORIXIMINA","2015-11-06 00:00:00","2015-11-06 00:00:00"
"CENTRO NOVO DO MARANHAO","2015-11-06 00:00:00","2015-11-06 00:00:00"
"BOM JESUS DO TOCANTINS","2015-11-06 00:00:00","2015-11-06 00:00:00"
"ITUPIRANGA","2015-11-06 00:00:00","2015-11-06 00:00:00"
